time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.contacts
1970/01/01/01:00:36.817000,1761,36,816000000,,"[True, False, False, True]"
1970/01/01/01:00:36.838000,1762,36,838000000,,"[True, False, False, True]"
1970/01/01/01:00:36.856000,1763,36,856000000,,"[True, False, False, True]"
1970/01/01/01:00:36.876000,1764,36,876000000,,"[True, False, False, True]"
1970/01/01/01:00:36.896000,1765,36,896000000,,"[True, False, True, True]"
1970/01/01/01:00:36.921000,1766,36,916000000,,"[True, False, True, True]"
1970/01/01/01:00:36.936000,1767,36,936000000,,"[False, True, True, False]"
1970/01/01/01:00:36.956000,1768,36,956000000,,"[False, True, True, False]"
1970/01/01/01:00:36.976000,1769,36,976000000,,"[False, True, True, False]"
1970/01/01/01:00:36.996000,1770,36,996000000,,"[False, True, True, False]"
1970/01/01/01:00:37.016000,1771,37,16000000,,"[False, True, True, False]"
1970/01/01/01:00:37.036000,1772,37,36000000,,"[False, True, True, False]"
1970/01/01/01:00:37.055000,1773,37,56000000,,"[False, True, True, False]"
1970/01/01/01:00:37.076000,1774,37,76000000,,"[False, True, True, False]"
1970/01/01/01:00:37.096000,1775,37,96000000,,"[False, True, True, False]"
1970/01/01/01:00:37.116000,1776,37,116000000,,"[False, True, True, False]"
1970/01/01/01:00:37.136000,1777,37,136000000,,"[False, True, True, False]"
1970/01/01/01:00:37.156000,1778,37,156000000,,"[False, True, True, True]"
1970/01/01/01:00:37.176000,1779,37,176000000,,"[False, True, True, True]"
1970/01/01/01:00:37.196000,1780,37,196000000,,"[False, False, False, True]"
1970/01/01/01:00:37.216000,1781,37,216000000,,"[True, False, False, True]"
1970/01/01/01:00:37.238000,1782,37,237000000,,"[True, False, False, True]"
1970/01/01/01:00:37.260000,1783,37,260000000,,"[True, False, False, True]"
1970/01/01/01:00:37.276000,1784,37,276000000,,"[False, False, False, False]"
1970/01/01/01:00:37.296000,1785,37,296000000,,"[True, False, False, True]"
1970/01/01/01:00:37.320000,1786,37,319000000,,"[True, False, False, True]"
1970/01/01/01:00:37.336000,1787,37,336000000,,"[True, False, False, True]"
1970/01/01/01:00:37.357000,1788,37,357000000,,"[True, False, False, True]"
1970/01/01/01:00:37.376000,1789,37,376000000,,"[True, False, False, True]"
1970/01/01/01:00:37.396000,1790,37,396000000,,"[True, False, True, True]"
1970/01/01/01:00:37.416000,1791,37,416000000,,"[True, False, True, True]"
1970/01/01/01:00:37.436000,1792,37,436000000,,"[False, False, True, False]"
1970/01/01/01:00:37.456000,1793,37,456000000,,"[False, False, True, False]"
1970/01/01/01:00:37.476000,1794,37,476000000,,"[False, True, True, False]"
1970/01/01/01:00:37.497000,1795,37,497000000,,"[False, True, True, False]"
1970/01/01/01:00:37.516000,1796,37,516000000,,"[False, True, True, False]"
1970/01/01/01:00:37.537000,1797,37,537000000,,"[False, True, True, False]"
1970/01/01/01:00:37.556000,1798,37,556000000,,"[False, True, True, False]"
1970/01/01/01:00:37.575000,1799,37,576000000,,"[False, True, True, False]"
1970/01/01/01:00:37.596000,1800,37,596000000,,"[False, True, True, False]"
1970/01/01/01:00:37.616000,1801,37,616000000,,"[False, True, True, False]"
1970/01/01/01:00:37.637000,1802,37,637000000,,"[False, True, True, False]"
1970/01/01/01:00:37.656000,1803,37,656000000,,"[False, True, True, True]"
1970/01/01/01:00:37.677000,1804,37,677000000,,"[False, True, True, True]"
1970/01/01/01:00:37.696000,1805,37,696000000,,"[False, False, False, True]"
1970/01/01/01:00:37.716000,1806,37,716000000,,"[True, False, False, True]"
1970/01/01/01:00:37.736000,1807,37,736000000,,"[True, False, False, True]"
1970/01/01/01:00:37.755000,1808,37,756000000,,"[True, False, False, True]"
1970/01/01/01:00:37.776000,1809,37,776000000,,"[True, False, False, True]"
1970/01/01/01:00:37.796000,1810,37,796000000,,"[True, False, False, True]"
1970/01/01/01:00:37.816000,1811,37,816000000,,"[True, False, False, True]"
1970/01/01/01:00:37.834000,1812,37,836000000,,"[True, False, False, True]"
1970/01/01/01:00:37.856000,1813,37,856000000,,"[True, False, False, True]"
1970/01/01/01:00:37.876000,1814,37,876000000,,"[True, False, False, True]"
1970/01/01/01:00:37.896000,1815,37,896000000,,"[True, False, True, True]"
1970/01/01/01:00:37.916000,1816,37,916000000,,"[True, False, True, True]"
1970/01/01/01:00:37.938000,1817,37,938000000,,"[False, False, True, True]"
1970/01/01/01:00:37.956000,1818,37,956000000,,"[False, False, True, False]"
1970/01/01/01:00:37.976000,1819,37,976000000,,"[False, True, True, False]"
1970/01/01/01:00:37.996000,1820,37,996000000,,"[False, True, True, False]"
1970/01/01/01:00:38.016000,1821,38,16000000,,"[False, True, True, False]"
1970/01/01/01:00:38.037000,1822,38,37000000,,"[False, True, True, False]"
1970/01/01/01:00:38.057000,1823,38,56000000,,"[False, True, True, False]"
1970/01/01/01:00:38.076000,1824,38,76000000,,"[False, True, True, False]"
1970/01/01/01:00:38.095000,1825,38,96000000,,"[False, True, True, False]"
1970/01/01/01:00:38.116000,1826,38,116000000,,"[False, True, True, False]"
1970/01/01/01:00:38.136000,1827,38,136000000,,"[False, True, True, False]"
1970/01/01/01:00:38.156000,1828,38,156000000,,"[False, True, True, True]"
1970/01/01/01:00:38.176000,1829,38,176000000,,"[True, True, True, True]"
1970/01/01/01:00:38.196000,1830,38,196000000,,"[True, False, False, True]"
1970/01/01/01:00:38.223000,1831,38,223000000,,"[True, False, False, True]"
1970/01/01/01:00:38.236000,1832,38,236000000,,"[True, False, False, True]"
1970/01/01/01:00:38.256000,1833,38,256000000,,"[True, False, False, True]"
1970/01/01/01:00:38.276000,1834,38,276000000,,"[True, False, False, True]"
1970/01/01/01:00:38.296000,1835,38,296000000,,"[True, False, False, True]"
1970/01/01/01:00:38.316000,1836,38,316000000,,"[True, False, False, True]"
1970/01/01/01:00:38.336000,1837,38,336000000,,"[True, False, False, True]"
1970/01/01/01:00:38.356000,1838,38,356000000,,"[True, False, False, True]"
1970/01/01/01:00:38.376000,1839,38,376000000,,"[True, False, False, True]"
1970/01/01/01:00:38.396000,1840,38,396000000,,"[True, False, True, True]"
1970/01/01/01:00:38.416000,1841,38,416000000,,"[True, False, True, True]"
1970/01/01/01:00:38.436000,1842,38,436000000,,"[False, False, True, True]"
1970/01/01/01:00:38.468000,1843,38,468000000,,"[False, True, True, False]"
1970/01/01/01:00:38.476000,1844,38,476000000,,"[False, True, True, False]"
1970/01/01/01:00:38.497000,1845,38,496000000,,"[False, True, True, False]"
1970/01/01/01:00:38.516000,1846,38,516000000,,"[False, True, True, False]"
1970/01/01/01:00:38.537000,1847,38,537000000,,"[False, True, True, False]"
1970/01/01/01:00:38.557000,1848,38,557000000,,"[False, True, True, False]"
1970/01/01/01:00:38.576000,1849,38,576000000,,"[False, True, True, False]"
1970/01/01/01:00:38.596000,1850,38,596000000,,"[False, True, True, False]"
1970/01/01/01:00:38.616000,1851,38,616000000,,"[False, True, True, False]"
1970/01/01/01:00:38.636000,1852,38,636000000,,"[False, True, True, False]"
1970/01/01/01:00:38.655000,1853,38,656000000,,"[False, True, True, True]"
1970/01/01/01:00:38.677000,1854,38,677000000,,"[False, True, True, True]"
1970/01/01/01:00:38.696000,1855,38,696000000,,"[False, False, False, True]"
1970/01/01/01:00:38.716000,1856,38,716000000,,"[True, False, False, True]"
1970/01/01/01:00:38.736000,1857,38,736000000,,"[True, False, False, True]"
1970/01/01/01:00:38.756000,1858,38,756000000,,"[True, False, False, True]"
1970/01/01/01:00:38.776000,1859,38,776000000,,"[True, False, False, True]"
1970/01/01/01:00:38.796000,1860,38,796000000,,"[True, False, False, True]"
1970/01/01/01:00:38.816000,1861,38,816000000,,"[True, False, False, True]"
1970/01/01/01:00:38.839000,1862,38,836000000,,"[True, False, False, True]"
1970/01/01/01:00:38.856000,1863,38,856000000,,"[True, False, False, True]"
1970/01/01/01:00:38.876000,1864,38,876000000,,"[True, False, False, True]"
1970/01/01/01:00:38.895000,1865,38,896000000,,"[True, False, False, True]"
1970/01/01/01:00:38.916000,1866,38,916000000,,"[True, False, True, True]"
1970/01/01/01:00:38.936000,1867,38,936000000,,"[False, False, True, True]"
1970/01/01/01:00:38.956000,1868,38,956000000,,"[False, True, True, False]"
1970/01/01/01:00:38.976000,1869,38,976000000,,"[False, True, True, False]"
1970/01/01/01:00:38.996000,1870,38,996000000,,"[False, True, True, False]"
1970/01/01/01:00:39.016000,1871,39,16000000,,"[False, True, True, False]"
1970/01/01/01:00:39.039000,1872,39,39000000,,"[False, False, False, False]"
1970/01/01/01:00:39.056000,1873,39,56000000,,"[False, True, True, False]"
1970/01/01/01:00:39.088000,1874,39,88000000,,"[False, True, True, False]"
1970/01/01/01:00:39.096000,1875,39,96000000,,"[False, True, True, False]"
1970/01/01/01:00:39.116000,1876,39,116000000,,"[False, False, False, False]"
1970/01/01/01:00:39.137000,1877,39,136000000,,"[False, True, True, False]"
1970/01/01/01:00:39.155000,1878,39,156000000,,"[False, True, True, True]"
1970/01/01/01:00:39.176000,1879,39,176000000,,"[False, True, True, True]"
1970/01/01/01:00:39.203000,1880,39,203000000,,"[True, False, False, True]"
1970/01/01/01:00:39.216000,1881,39,217000000,,"[True, False, False, True]"
1970/01/01/01:00:39.236000,1882,39,236000000,,"[True, False, False, True]"
